_rank,value_rating,model,price,signature,comments,tone_grade,technical_grade,driver_type,status,ranksort,tonesort,techsort,pricesort
B,★★★,Moondrop Chu,20,Neutral,An extremely well-tuned neutral IEM with a slightly bright and metallic tilt.,A+,C+,DD,Available for demo at The Hangout,104,13,91,20
B,★★★,Truthear Hola,20,Warm neutral,,A+,C+,DD,Available for demo at The Hangout,104,13,91,20
B,★★,Audiosense DT200,150,Neutral,Excellent tonality. Just excellent tuning overall.,A+,C+,2BA,Zeppelin & Co demo unit,104,13,91,150
B,★,ThieAudio Legacy 4 (L4),200,Neutral with bass boost,Well-tuned if technically lacking in comparison. Could use some more power in the bass.,A-,B-,3BA 1DD,,104,31,73,200
B,★,Libratone Track Air Plus,250,Neutral with bass boost,Deep and focused sub-bass response with a surprisingly balanced midrange tonality.,A+,C+,2DD,Available for demo at The Hangout,104,13,91,250
B,,Unique Melody Merlin V2,1000,Warm neutral,"Very tasteful and coherent tuning, if lacking in sheer resolution.",A-,B-,4BA 1DD,Stereo SG demo unit,104,31,73,1000
B,,64 Audio A6t,1300,Warm,"Very warm and intimate presentation, though overall tonal balance is somewhat preserved.",A-,B-,6BA,Music Sanctuary demo unit,104,31,73,1300
B,,Empire Ears Hero,1350,U-shaped,Well-controlled bass emphasis with a less-well-controlled treble emphasis makes this hard to appreciate.,B-,A-,3BA 1DD,Zeppelin & Co demo unit,104,73,31,1350
B,,Moondrop Kanas Pro,Discont.,Warm V-shape,"Somewhat Harman-esque in tuning, not the best in terms of resolution.",A-,B-,DD,Available for demo at The Hangout,104,31,73,99999
B,★★★,Lypertek PurePlay Z3 2.0(PurePlay Z3)(Tevi),90,Neutral with bass boost,Probably the closest thing to an ER2XR in TWS form.,A,C+,DD,Jaben Melbourne demo unit,112,21,91,90
B,★,Sony XBA-N3,300,Neutral with bass boost,Exceptional tonal balance only limited by its slightly smoothed over definition,A,C+,1BA 1DD,ConnectIT demo unit,112,21,91,300
B,,Kumitate KL-Corona,650,Neutral,Well-tuned with somewhat disappointing technical performance.,A,C+,3BA,Treoo demo unit,112,21,91,650
B,,64 Audio tia Fourte,3600,W-shaped,"Unique sound; high clarity and bass response with immensely wide staging, held back by a wonky tonality.",C+,A,3BA 1DD,E1 demo unit,112,91,21,3600
B,,64 Audio tia Fourte Noir,3800,W-shaped,A bassier and warmer Fourte though also strangely sharper and less technical.,C+,A,3BA 1DD,E1 demo unit,112,91,21,3800
B,,Sony MDR-EX1000,Discont.,Bright neutral,Outstanding imaging and detail retrieval though can be intense to listen to.,C+,A,DD,Third party unit,112,91,21,99999
B,,Dita Sakura 71,Discont.,V-shaped,Very upper-mid forward. Would appreciate the shout being dialed way down.,C+,A,DD,Showfloor demo unit,112,91,21,99999
B,,Moondrop Crescent,Discont.,Neutral with bass boost,Well-executed V-ish signature that's neither harsh nor bloated.,A,C+,DD,Third party unit,112,21,91,99999
B,★,FiiO FH5,260,Neutral with bass boost,"Stellar bass response and decent technical ability, not much to fault.",B,B,3BA 1DD,E1 demo unit,114,57,57,260
B,★,Sennheiser IE300,300,V-shaped,Fairly mainstream tuning with a treble response that's well done given its emphasis.,B,B,DD,,114,57,57,300
B,,Tanchjim Prism,600,V-shaped,,B,B,2BA 1DD,Available for demo at The Hangout,114,57,57,600
B,,FiiO FD7,600,V-shaped,,B,B,DD,e-Earphone demo unit,114,57,57,600
B,,FiiO FH9,600,Mild V-shape,,B,B,6BA 1DD,Available for demo at The Hangout,114,57,57,600
B,,Fearless La Hire,610,Neutral,Well-tuned neutral-style monitor with subpar treble extension.,B,B,2EST 2BA,Music Sanctuary demo unit,114,57,57,610
B,,Yanyin x HBB Mahina,650,Neutral with bass boost,,B,B,2EST 4BA 1DD,Third party unit,114,57,57,650
B,,Yanyin Moonlight,650,Neutral with bass boost,,B,B,2EST 4BA 1DD,Available for demo at The Hangout,114,57,57,650
B,,Aya Trident,800,U-shaped,"Somewhat strange tuning that seems to try to do everything, but results in a slightly wonky tonality.",B,B,4EST 4BA,Available for demo at The Hangout,114,57,57,800
B,,Moondrop Illumination,800,Warm neutral,"Well-tuned with natural timbre, ultimately marred by subpar detail retrieval and definition.",B,B,DD,Available for demo at The Hangout,114,57,57,800
B,,iBasso IT07,900,U-shaped,"More similar to its predecessor the IT04, with more bass and less treble.",B,B,6BA 1DD,Zeppelin & Co demo unit,114,57,57,900
B,,qdc 5SH,900,V-shaped,"Fun, lively signature that retains high levels of performance.",B,B,5BA,Music Sanctuary demo unit,114,57,57,900
B,,Kinera Nanna 2.0,900,V-shaped,Bass is a tad uncontrolled and the mids could use more refinement. The original is arguably superior.,B,B,2EST 1BA 1DD,,114,57,57,900
B,,Symphonium Triton,900,Neutral,,B,B,2BA 1DD,Zeppelin & Co demo unit,114,57,57,900
B,,AKG N5005,1000,Neutral with bass boost,Amazing bass control only let down by plastic timbre.,B,B,4BA 1DD,Zeppelin & Co demo unit,114,57,57,1000
B,,Unique Melody Mirage,1100,Mild V-shape,"Tonally-balanced, technically acceptable, nothing much to criticise though no big praises either.",B,B,3BA,Stereo SG demo unit,114,57,57,1100
B,,Empire Ears Vantage,1400,V-shaped,"A Legend-X-mini, essentially. Nice alternative on a ""budget"".",B,B,1BA 2DD,Zeppelin & Co demo unit,114,57,57,1400
B,,"Sony Justear XJE-MH2 ""Club""",2150,Warm V-shape,"Nice, pleasant signature that is reminiscent of a more textured HS1551.",B,B,1BA 1DD,Third party custom,114,57,57,2150
B,,Ultimate Ears UE18+ Pro Gen 2,Discont.,Warm neutral,Somewhat reference tuning with emphasis on tonal accuracy and naturalness,B,B,6BA,Personal unit,114,57,57,99999
B,,Kumitate KL-REF Type S,Discont.,Variable,Triggers uncanny valley hard. Presentation is always slighty off in some area that I can't pinpoint.,B,B,3BA 2DD,Showfloor demo unit,114,57,57,99999
B-,★★★,HZSound Heart Mirror Pro,80,Mild V-shape,,B+,B-,DD,Third party unit,116,43,73,80
B-,★,Sony WF-1000XM3,230,Neutral with bass boost,"Proper tonality, solid technicalities yet with a consumer-friendly signature.",B+,B-,DD,ConnectIT demo unit,116,43,73,230
B-,★,Acoustune HS1300,350,V-shaped,"A less warm, slightly brighter version of the coveted HS1551.",B-,B+,DD,Zeppelin & Co demo unit,116,73,43,350
B-,,AAW AXH (2019),430,Bright neutral,Sharp treble though not to the point of being piercing. Decent rendition of the bright-neutral signature.,B-,B+,4BA 1DD,Music Sanctuary demo unit,116,73,43,430
B-,,Shanling ME700 Lite,500,Neutral,Rather radical change from the original ME700; far less warm with more upper-mid emphasis.,B+,B-,4BA 1DD,Available for demo at The Hangout,116,43,73,500
B-,,Unique Melody MacBeth,600,U-shaped,Extremely clear but may be too thin for some.,B-,B+,1BA 1DD,Third party unit,116,73,43,600
B-,,Elysian Artemis V2,700,Neutral,"A detailed, somewhat neutral-sounding IEM that should fit most people's tastes.",B-,B+,3BA,Showfloor demo unit,116,73,43,700
B-,,Acoustune HS1655Cu,750,V-shaped,Deep V-shape signature with some odd treble spikes; very Acoustune.,B-,B+,DD,Zeppelin & Co demo unit,116,73,43,750
B-,,Acoustune HS1657,750,V-shaped,Deep V-shape signature with some odd treble spikes; very Acoustune.,B-,B+,DD,Zeppelin & Co demo unit,116,73,43,750
B-,,DUNU DK-4001,900,U-shaped,A little shrill with slight cutbacks in tone compared to the DK-3001 Pro.,B-,B+,4BA 1DD,Available for demo at The Hangout,116,73,43,900
B-,,Acoustune HS1677,900,V-shaped,Deep V-shape signature with some odd treble spikes; very Acoustune.,B-,B+,DD,Zeppelin & Co demo unit,116,73,43,900
B-,,Kinera Nanna,900,Mild V-shape,Surprisingly well-extended for an EST implementation; somewhat blunted notes overall.,B+,B-,2EST 1BA 1DD,E1 demo unit,116,43,73,900
B-,,Beyerdynamic Xelento,1000,V-shaped,"Like the T8iE, with a little more treble and upper mids.",B-,B+,DD,Zeppelin & Co demo unit,116,73,43,1000
B-,,Chikyu-Sekai 16/Cosmos,1100,Warm neutral,,B-,B+,16BA,e-Earphone demo unit,116,73,43,1100
B-,,Lime Ears Aether,1350,Neutral with bass boost,Excellent clarity and tone but marred slightly by slightly lackluster resolution,B+,B-,5BA,Music Sanctuary demo unit,116,43,73,1350
B-,,Craft Ears Aurum,1500,Neutral with bass boost,,B+,B-,2EST 4BA 1DD,Zeppelin & Co demo unit,116,43,73,1500
B-,,FAudio Mezzo,1900,Variable,,B-,B+,1Piezo 2BA 1DD,Zeppelin & Co demo unit,116,73,43,1900
B-,,Sony MH755,Discont.,U-shaped,"Clean notes, proper sub-bass extension and a tonal balance beyond expectations.",B+,B-,DD,Personal unit,116,43,73,99999
B-,,Sony MDR-AS800AP,Discont.,Neutral with bass boost,Extremely well-balanced tuning but with unfortunately middling technicalities.,S-,C,DD,Personal unit,118,7,111,99999
B-,★★★,Intime Sora,45,U-shaped,Well controlled bass boost with slightly skewed tonality. Potential is there.,A-,C+,DD,Third party unit,122,31,91,45
B-,★★,Moondrop Sparks,90,Neutral,"A tad too shouty and lacking low-level detail, but nothing too egregious as a whole.",A-,C+,DD,Available for demo at The Hangout,122,31,91,90
B-,★,Fatfreq Musician Plus V2,230,Neutral with bass boost,,A-,C+,2BA,Showfloor demo unit,122,31,91,230
B-,★,Audio Lokahi,240,Neutral with bass boost,,A-,C+,7BA,Third party unit,122,31,91,240
B-,★,JVC HA-FW03,250,Bright V-shape,Slightly shouty but balanced out by a warm mid-bass hump. Lacking overall definition.,A-,C+,DD,Jaben SG demo unit,122,31,91,250
B-,★,Sony MDR-EX800ST/MDR7550,350,Bright neutral,"A more forgiving, warmer version of the EX1000.",C+,A-,DD,Third party unit,122,91,31,350
B-,,Nostalgia Benbulbin,900,Neutral with bass boost,,A-,C+,4BA 1DD,E1 demo unit,122,31,91,900
B-,,Dita Fidelity,1300,V-shaped,The more technical and less natural sounding of the Dita twins.,C+,A-,DD,Zeppelin & Co demo unit,122,91,31,1300
B-,,Vision Ears EVE 20,1550,V-shaped,Solid technicalities in tandem with an uninspired tuning.,C+,A-,6BA,E1 demo unit,122,91,31,1550
B-,,Empire Ears Valkyrie,1600,V-shaped,Lots of sub-bass with extremely thin mids. Adequate technicalities.,C+,A-,1EST 1BA 1DD,Zeppelin & Co demo unit,122,91,31,1600
B-,,Empire Ears Valkyrie Mk2,1600,V-shaped,Not too dissimilar to its predecessor.,C+,A-,1EST 1BA 1DD,Zeppelin & Co demo unit,122,91,31,1600
B-,,Tripowin Lea,Discont.,Mild V-shape,,A-,C+,DD,Available for demo at The Hangout,122,31,91,99999
B-,★★,Tin HiFi T4,110,Bright neutral,A worthy successor to the legendary GR07.,B,B-,DD,Available for demo at The Hangout,130,57,73,110
B-,★★,DUNU Titan 3,140,Bright neutral,"A more reined-in variant of the Titan 3's sound, more peaky but also slightly more resolving.",B-,B,DD,Third party unit,130,73,57,140
B-,★,qdc Neptune,200,Warm neutral,Tuning and configuration is simple but goes a long way when implemented well.,B,B-,BA,Music Sanctuary demo unit,130,57,73,200
B-,★,Apple AirPods Pro,250,Neutral,Somewhat Diffuse-Field tuning with a smooth and natural midrange tonality.,B,B-,DD,Third party unit,130,57,73,250
B-,★,ThieAudio Legacy 5 (L5),250,Warm neutral,A little lacking in the upper-mids but otherwise a competent set.,B,B-,4BA 1DD,,130,57,73,250
B-,★,Veedix Diamond String,260,V-shaped,,B,B-,4BA 1DD,Available for demo at The Hangout,130,57,73,260
B-,★,Shozy & Neo BG,280,Bright neutral,"Well balanced tuning with decent resolution, though suffers from slight timbral issues.",B-,B,5BA,Zeppelin & Co demo unit,130,73,57,280
B-,★,DUNU DK-2001,300,V-shaped,Slightly warm-tilted with a bit of treble spiciness.,B-,B,3BA 1DD,Review loaner,130,73,57,300
B-,★,FiiO FD5,350,V-shaped,Pretty standard V-shaped tuning though surprisingly proficient in technicalities.,B-,B,DD,AV One demo unit,130,73,57,350
B-,,Fatfreq Reference Pro,370,Neutral,,B,B-,3BA,Showfloor demo unit,130,57,73,370
B-,,Fearless S6Rui,390,V-shaped,Similar to the S4/S5H though with smoother upper mids and treble response.,B-,B,6BA,Music Sanctuary demo unit,130,73,57,390
B-,,Anthem Five E4,400,Neutral with bass boost,"The all-rounder; nothing stands out but nothing sounds terrible either. Safe, but perhaps too safe.",B,B-,4BA,Review custom,130,57,73,400
B-,,ARC Mira,410,Neutral,A well-tuned basic setup with strengths in versatility.,B,B-,2BA,Showfloor demo unit,130,57,73,410
B-,,Sony XBA-A3,480,Warm neutral,Coherent hybrid with a warm-ish tilt to its tone.,B-,B,2BA 1DD,Third party unit,130,73,57,480
B-,,TRI Starshine,500,Bright V-shape,"A good example of ""too much of a good thing"": treble extension. Sibilance issues abound, but otherwise fine.",B-,B,2EST 2BA,Available for demo at The Hangout,130,73,57,500
B-,,Final Audio B3,500,Warm neutral,Probably the best tuned of Final's B-series. Reminiscent of the E-series with BA characteristics.,B,B-,2BA,Showfloor demo unit,130,57,73,500
B-,,ThieAudio Legacy 9 (L9),550,Bassy,Bass a little too slow and sluggish with minor quirks in the midrange-treble transition.,B-,B,8BA 1DD,Third party unit,130,73,57,550
B-,,NocturnaL Atlantis,600,Neutral,Reference signature with immense clarity and energy.,B-,B,4BA,Treoo demo unit,130,73,57,600
B-,,Sony XBA-Z5,700,"""Balanced""",All-rounder. Somewhat neutral both in FR and tonality.,B-,B,2BA 1DD,Showfloor demo unit,130,73,57,700
B-,,Craft Ears Argentum,850,V-shaped,,B,B-,2BA 1DD,Zeppelin & Co demo unit,130,57,73,850
B-,,PEARS SH2,860,Neutral,An odd take on neutrality but not the worst. ,B-,B,2BA,Zeppelin & Co demo unit,130,73,57,860
B-,,Gaudio Clariden,862,V-shaped,"Somewhat reminiscent of a more mid-y Andromeda, though with extra wonkiness.",B-,B,3BA,Available for demo at The Hangout,130,73,57,862
B-,,"Fidue A91 ""Sirius""",900,Warm V-shape,Uniquely tuned hybrid. Not very powerful DD bass with Diffuse-Field midrange.,B-,B,4BA 1DD,LMUE demo unit,130,73,57,900
B-,,Unique Melody Miracle V2,1050,Mild V-shape,Slight downsloping signature with a treble spike for sparkle.,B-,B,6BA,Stereo SG demo unit,130,73,57,1050
B-,,Soranik Ion,1100,Warm,"Clearly inspired by the 334, follows the same strengths in female vocals",B-,B,5BA,Music Sanctuary demo unit,130,73,57,1100
B-,,Vision Ears VE3.2,1200,Warm neutral,"Almost VE8-like in tonality, but lacks its technical abilities.",B,B-,3BA,E1 demo unit,130,57,73,1200
B-,,Noble Tux 5,1300,U-shaped,"Deep, sub-bass focus with potentially sibilant treble. Scooped midrange.",B-,B,4BA 1DD,Stereo SG demo unit,130,73,57,1300
B-,,HUM Reference,1300,Neutral,Basically sounds like a shallow-fit ER4S.,B,B-,BA,Zeppelin & Co demo unit,130,57,73,1300
B-,,Westone ES60,1300,Neutral with laid-back treble,"Great timbre and well-tuned, held back by its resolution",B,B-,6BA,A2A Melbourne demo unit,130,57,73,1300
B-,,Custom Art FIBAE 7,1450,Neutral,Neutral tuning with a more relaxed top end. Probably the best-tuned Custom Art.,B,B-,7BA,Music Sanctuary demo unit,130,57,73,1450
B-,,qdc Dmagic,1900,Neutral,Probably the best triple-DD IEM out there by virtue of not being a hot mess tonally.,B,B-,3DD,Music Sanctuary demo unit,130,57,73,1900
B-,,Aure Flame,2000,Mild V-shape,A little better managed than the Elixir but not a massive improvement. Reminds me of a budget FH5.,B,B-,?,Ear.Inc demo unit,130,57,73,2000
B-,,Sony XBA-H3,Discont.,Warm neutral,Coherent hybrid with a warm-ish tilt to its tone. Similar to the XBA-A3.,B-,B,2BA 1DD,Third party unit,130,73,57,99999
B-,★★★,Tanchjim Cora,50,V-shaped,"Well-controlled bass boost, though coupled with a slightly odd midrange tonality.",B+,C+,DD,Oardio demo unit,134,43,91,50
B-,★★,Tin HiFi T3 Plus,70,V-shaped,,B+,C+,DD,Available for demo at The Hangout,134,43,91,70
B-,★★,Tripowin x HBB Olina SE,100,Mild V-shape,,B+,C+,DD,Available for demo at The Hangout,134,43,91,100
B-,★,JBL LIVE 300TWS,150,V-shaped,"Kind of Harman-ish, but not. Heavy on the bass and sharp in the treble.",B+,C+,DD,Zeppelin & Co demo unit,134,43,91,150
B-,★,Audiosense AQ3,180,Bassy,"Well-controlled bass despite the emphasis, limited by overall resolving ability.",B+,C+,2BA 1DD,Available for demo at The Hangout,134,43,91,180
B-,★,Bose SoundSport Free,200,Neutral,"Solid tonal balance with wide soundstage, though not the best in detailing.",B+,C+,DD,ConnectIT demo unit,134,43,91,200
B-,,Acoustune HS1551,500,Warm V-shape,Warm and smooth tonality with a pleasing tuning not many would hate.,C+,B+,DD,Zeppelin & Co demo unit,134,91,43,500
B-,,Unique Melody Macbeth Ti,700,U-shaped,,B+,C+,1BA 1DD,e-Earphone demo unit,134,43,91,700
B-,,Empire Ears EVR,800,Neutral,A nicely tuned flat-ish signature with good technical ability all around.,C+,B+,3BA,Zeppelin & Co demo unit,134,91,43,800
B-,,Sennheiser IE800,800,Warm,Good bass with shimmery treble. Downsloping response with slightly wonky tonality.,C+,B+,DD,Jaben SG demo unit,134,91,43,800
B-,,Aroma Witch Girl S,900,Warm,Pretty good technicalities but with a rather generic tuning.,C+,B+,5BA,AV One demo unit,134,91,43,900
B-,,FiR VxV,1000,Mild V-shape,Interested coloured take on a neutral reference signature. A little uneven in the mids.,C+,B+,4BA 1DD,Zeppelin & Co demo unit,134,91,43,1000
B-,,64 Audio A4t,1000,Neutral with bass boost,Good tonal balance but lacking in definition and low-level detailing,B+,C+,4BA,Music Sanctuary demo unit,134,43,91,1000
B-,,Sennheiser IE800S,1200,Warm,Very subtle refinement to the original IE800.,C+,B+,DD,Jaben Melbourne demo unit,134,91,43,1200
B-,,Campfire Solaris (SE),1500,"""Balanced""",Coherent and well balanced hybrid though with slight midrange hollowness.,C+,B+,3BA 1DD,E1 demo unit,134,91,43,1500
B-,,FitEar Private 333,1500,Bright,Very exciting and sharp signature. Fatiguing and not for everyone.,C+,B+,3BA,Jaben SG demo unit,134,91,43,1500
B-,,Dita Dream XLS,1850,Neutral,"Standard Dita house sound with a non-standard bass roll-off. Decent, not amazing.",C+,B+,DD,Zeppelin & Co demo unit,134,91,43,1850
B-,,Unique Melody Maven,2000,V-shaped,"Decently resolving, decent tonality; not bad, not amazing.",C+,B+,11BA,Stereo SG demo unit,134,91,43,2000
B-,,Aroma Witch Girl W12,3150,Warm V-shape,"Warm response balanced out by a sparkly treble emphasis; good technicalities, if a little narrow-sounding.",C+,B+,12BA,AV One demo unit,134,91,43,3150
B-,★,Nothing Ear (2),150,Neutral with bass boost,,A-,C,DD,Available for demo at The Hangout,142,31,111,150
B-,,Acoustune HS1697,1150,V-shaped,A little wonkier than your average Acoustune but still retains the signature V-shape.,C,A-,DD,Zeppelin & Co demo unit,142,111,31,1150
B-,,Campfire Ara,1300,Bright neutral,"Very resolving set of IEMs, triggers the ""uncanny valley"" effect with its tuning.",C,A-,7BA,Third party unit,142,111,31,1300
B-,,Jomo Tango,1400,V-shaped,Deep V-shape signature with a warm tilt; good technicalities.,C,A-,6BA,Showfloor demo unit,142,111,31,1400
B-,,Dita Perpetua,3000,"""Balanced""",,C,A-,DD,e-Earphone demo unit,142,111,31,3000
B-,,Aroma Ace,3700,Neutral,Really odd take on neutrality. Not the worst... but it's not natural by any means.,C,A-,12BA,AV One demo unit,142,111,31,3700
B-,★★,DUNU Titan 1,110,Bright,"Bright, almost DF-ish in tonality. Shouty but with open imaging and decent detail.",B-,B-,DD,Third party unit,146,73,73,110
B-,★★,TRI Starsea,130,U-shaped,,B-,B-,2BA 1DD,Available for demo at The Hangout,146,73,73,130
B-,★,ikko OH1,140,V-shaped,"Well controlled sub-bass focus, high clarity and has an inherent ""Asian"" signature.",B-,B-,1BA 1DD,Zeppelin & Co demo unit,146,73,73,140
B-,★,Shanling ME200,180,V-shaped,"Slight mid-scoop going on. A little shouty, a little bassy, but not bad overall.",B-,B-,1BA 1DD,E1 demo unit,146,73,73,180
B-,★,Audio Technica ATH-LS200,250,Neutral,Somewhat Diffuse-Field neutral with its own quirks. Good technical ability.,B-,B-,2BA,Stereo SG demo unit,146,73,73,250
B-,★,Fearless S4,290,V-shaped,Tonally accurate though can be a little heavy with its upper midrange.,B-,B-,4BA,Music Sanctuary demo unit,146,73,73,290
B-,★,Aune Jasper,300,Mild V-shape,A little shouty but overall a well-balanced tonality that's more pleasing than divisive.,B-,B-,DD,Available for demo at The Hangout,146,73,73,300
B-,★,BGVP DM7,300,Warm neutral,Much more tonally-balanced take on the popular DM6.,B-,B-,6BA,Available for demo at The Hangout,146,73,73,300
B-,★,Oriveti OH300,300,V-shaped,More similar than different to the OH500. Non-offensive tuning with decent technicalities.,B-,B-,2BA 1DD,Jaben Melbourne demo unit,146,73,73,300
B-,★,Itsfit R3,305,Neutral,"Similar to the lauded UERM, but without its resolution nor sparkle.",B-,B-,3BA,Available for demo at The Hangout,146,73,73,305
B-,,Fearless S5H,330,V-shaped,"Similar if not identical to the S4, though with a little less upper mids.",B-,B-,5BA,Music Sanctuary demo unit,146,73,73,330
B-,,Sennheiser IE400 Pro,350,V-shaped,Heavy bass boost balanced out by good treble energy along with decent midrange tonality.,B-,B-,DD,ConnectIT demo unit,146,73,73,350
B-,,XENNS Mangird Tea 2,350,Neutral with bass boost,,B-,B-,6BA 1DD,Available for demo at The Hangout,146,73,73,350
B-,,InEar StageDiver SD-2,400,Neutral,"As with most GQ setups: well-balanced, excellent tuning and decent technical ability.",B-,B-,2BA,Zeppelin & Co demo unit,146,73,73,400
B-,,FiiO FA9,450,Neutral,More of a downslope-neutral kind of tonality. A bit above average as far as technical performance goes.,B-,B-,6BA,AV One demo unit,146,73,73,450
B-,,Oriveti OH500,500,V-shaped,More similar than different to the OH300. Non-offensive tuning with decent technicalities.,B-,B-,4BA 1DD,Jaben Melbourne demo unit,146,73,73,500
B-,,Kinera Skuld,550,Neutral,,B-,B-,5BA,e-Earphone demo unit,146,73,73,550
B-,,ARC Oculus,570,Warm,"Relaxing, warm signature with sub-par resolving ability.",B-,B-,3BA,Showfloor demo unit,146,73,73,570
B-,,Ultimate Ears UE6 Pro,700,"""Balanced""",A capable hybrid with little weaknesses.,B-,B-,1BA 2DD,Music Sanctuary demo unit,146,73,73,700
B-,,TRI Starlight,800,U-shaped,Painful sibilance due to uncontrolled upper treble.,B-,B-,4EST 2BA 1DD,Available for demo at The Hangout,146,73,73,800
B-,,Colorfly Quintet,900,Mild V-shape,,B-,B-,4BA 1DD,Review loaner,146,73,73,900
B-,,Clear Tune Monitors CT-6E,1000,Neutral,"Good, well-balanced tonality though falls apart from the treble upwards.",B-,B-,6BA,Jaben SG demo unit,146,73,73,1000
B-,,Stealthsonics U9 JDM,1100,Neutral with bass boost,Does away with the timbre issues of the standard U9.,B-,B-,8BA 1DD,Showfloor demo unit,146,73,73,1100
B-,,Meze Rai Penta,1100,Warm V-shape,Pleasing tonality with subpar technical ability.,B-,B-,4BA 1DD,E1 demo unit,146,73,73,1100
B-,,Elysian Cora (2019),1230,Neutral with bass boost,A decent hybrid weird slightly odd midrange tonality.,B-,B-,4BA 1DD,Showfloor demo unit,146,73,73,1230
B-,,FitEar TG334,1400,Dark,Like the MH334 with quite a bit less treble,B-,B-,4BA,Personal unit,146,73,73,1400
B-,,Rhapsodio Solar,1550,Mild V-shape,An all-rounder to a fault. Truly a master of none.,B-,B-,10BA,Zeppelin & Co demo unit,146,73,73,1550
B-,,FitEar MH334,1900,Warm,"Perfect for female vocals, but otherwise quite coloured",B-,B-,4BA,Third party custom,146,73,73,1900
B-,,Aure Elixir,2000,Mild V-shape,Sort of wonky-but-not tonality that reminds me of some of Audiosense's weird IEMs.,B-,B-,3BA 1DD,Ear.Inc demo unit,146,73,73,2000
B-,,Soranik Bastille Signature,?,V-shaped,"Upper-mid and sub-bass forward, mids are scooped and can get hollow.",B-,B-,4BA 1DD,Ear.Inc demo unit,146,73,73,99999
C+,,Tripowin x HBB Mele,50,V-shaped,,B,C+,DD,Available for demo at The Hangout,148,57,91,50
C+,,Edifier TWS5,80,V-shaped,"Good tone and bass response, but unfortunately lacking detail retrieval.",B,C+,DD,Third party unit,148,57,91,80
C+,,Whizzer A15 Pro,120,Bright neutral,"Interesting Etymotic-like DF tuning, though far more thin-sounding and rather shouty.",B,C+,DD,Zeppelin & Co demo unit,148,57,91,120
C+,,ThieAudio Legacy 3 (L3),130,Neutral,"Balanced tonality with a laid-back signature, nothing much to fault nor to praise.",B,C+,2BA 1DD,Available for demo at The Hangout,148,57,91,130
C+,,Audiosense AQ4,180,Neutral with bass boost,,B,C+,3BA 1DD,Available for demo at The Hangout,148,57,91,180
C+,,Ambient Dynamics AD-006 “Lyndale”,200,Warm neutral,,B,C+,1BA 1DD,Available for demo at The Hangout,148,57,91,200
C+,,Tansio Mirai TSMR-3 Pro,200,Variable,"Mostly just variations of ""warm"". Pleasant tuning but lacking detail and clarity.",B,C+,3BA,Available for demo at The Hangout,148,57,91,200
C+,,QoA Adonis,220,Mild V-shape,Somewhat balanced tonality if not for a bit of bass bleed. Not the most technical.,B,C+,2BA 1DD,ConnectIT demo unit,148,57,91,220
C+,,Soranik SP3,250,Bright V-shape,"Thin-sounding, a little strong with the BA timbre and can be fatiguing.",C+,B,3BA,Showfloor demo unit,148,91,57,250
C+,,SeeAudio Bravery,280,Neutral with bass boost,,B,C+,4BA,Available for demo at The Hangout,148,57,91,280
C+,,ARC Pollux,285,Neutral,Well-tuned neutral single-BA IEM.,B,C+,BA,Showfloor demo unit,148,57,91,285
C+,,Periodic Audio Be,300,Mild V-shape,"Meaty with decent sparkle in the treble, whilst remaining clear and clean.",C+,B,DD,Available for demo at The Hangout,148,91,57,300
C+,,Massdrop Plus,300,Warm neutral,"Reference-targeted sound with excellent clarity and detail, with a slightly more fun tuning.",B,C+,3BA,Available for demo at The Hangout,148,57,91,300
C+,,Tansio Mirai TSMR-5,430,Warm V-shape,"Alright tonality, decent detailing but nothing that makes it stand out.",B,C+,5BA,Available for demo at The Hangout,148,57,91,430
C+,,FiiO FH7,450,V-shaped,What is otherwise a pretty good hybrid marred by a strange tonality.,C+,B,4BA 1DD,ConnectIT demo unit,148,91,57,450
C+,,Campfire Polaris V1,600,V-shaped,Pseudo-Japanese tuning focusing on female vocals and a very lively signature.,C+,B,1BA 1DD,Zeppelin & Co demo unit,148,91,57,600
C+,,qdc Anole V3,600,Variable,The bassier of the Anole brothers. Better timbre but worse technicalities.,C+,B,3BA,Music Sanctuary demo unit,148,91,57,600
C+,,Aroma Early,600,Neutral with bass boost,Capable V-shaped hybrid. Could use a little more control in the bass.,B,C+,1BA 1DD,AV One demo unit,148,57,91,600
C+,,Shanling ME800,800,Variable,,C+,B,4BA 2DD,Available for demo at The Hangout,148,91,57,800
C+,,Empire Ears ESR,1000,Bright V-shape,Has the technical chops but is sharp and fatiguing.,C+,B,3BA,Zeppelin & Co demo unit,148,91,57,1000
C+,,Unique Melody Maverick II,1050,Neutral,,B,C+,4BA 1DD,e-Earphone demo unit,148,57,91,1050
C+,,Astell & Kern T9iE,1300,U-shaped,"Feels like a more neutral take on the T8iE, though I'm not sure if it works. Sounds off overall.",C+,B,DD,AV One demo unit,148,91,57,1300
C+,,Vision Ears VE5,1400,Neutral,"Tuning that avoids any fatiguing peaks, at the cost of midrange coherency.",C+,B,5BA,E1 demo unit,148,91,57,1400
C+,,Jomo Quatre,1500,V-shaped,Nicely tuned hybrid that serves as a good all-rounder.,C+,B,3BA 1DD,Euphoria Audio demo unit,148,91,57,1500
C+,,Alclair Electro,1500,Neutral with bass boost,"A decent performer in its own right, but nothing that its cheaper brothers aren't already doing.",B,C+,2EST 4BA,Ear.Inc demo unit,148,57,91,1500
